"Object Designation  ","Date (yyyy-mm-dd.dd)","Distance (rEarth)","Width (rEarth)","Sigma Impact  ","Sigma LOV  ","Stretch LOV (rEarth)","Impact Probability  ","Impact Energy (Mt)","Palermo Scale  ","Torino Scale  ",""
"(2015 DA54)","2107-07-30.16","0.21","1.55e-2","0.000","2.45300","6.99e+5","5.5e-8","1.316e+03","-5.20","0","bK15D54A"
"410777 (2009 FD)","2192-03-29.51","0.81","< 1.e-04","0.000","1.253","4.53e+5","6.0e-7","1.447e+02","-5.22","","a0410777"
"(2005 CC37)","2117-01-13.66","0.92","1.42e-2","0.000","0.27813","2.68e+5","1.1e-6","3.019e+01","-5.23","0","bK05C37C"
"(2008 EX5)","2071-10-09.68","0.39","1.59e-2","0.000","-0.46930","3.61e+5","1.8e-6","7.287e+00","-5.26","0","bK08E05X"
"(2008 UB7)","2056-10-31.64","0.38","3.93e-3","0.000","0.85407","6.56e+5","7.8e-7","1.436e+01","-5.26","0","bK08U07B"
"(2010 AU118)","2105-10-21.87","123.93","6.77e+2","0.182","-0.54008","2.52e+6","2.5e-10","9.035e+05","-5.26","0","bK10AB8U"
"(2002 MN)","2071-06-15.66","0.48","9.82e-4","0.000","-1.12854","3.69e+5","1.0e-6","1.479e+01","-5.27","0","bK02M00N"
"(2006 QN111)","2079-08-16.47","0.44","1.52e-2","0.000","-1.84122","6.93e+4","1.9e-6","8.094e+00","-5.27","0","bK06QB1N"
"(2007 FT3)","2030-10-03.69","64.55","4.74e+1","1.341","-0.53047","9.10e+5","4.0e-9","2.671e+03","-5.27","0","bK07F03T"
"(2007 FT3)","2067-10-03.72","38.11","4.70e+1","0.790","-0.83834","3.77e+5","1.4e-8","2.727e+03","-5.28","0","bK07F03T"
"(2010 MA113)","2076-01-25.33","1.33","2.35e+0","0.141","1.83120","1.29e+5","3.0e-7","7.249e+01","-5.28","0","bK10MB3A"
"(2015 ME131)","2024-08-18.10","0.92","6.34e+2","0.000","0.73825","8.64e+5","7.0e-10","1.042e+04","-5.28","0","bK15MD1E"
"101955 Bennu (1999 RQ36)","2181-09-24.51","0.01","< 1.e-04","0.000","2.213","1.55e+6","9.4e-8","1.152e+03","-5.28","","a0101955"
"(1999 RZ31)","2056-09-05.11","0.24","7.87e-3","0.000","1.82694","1.06e+5","1.4e-6","6.379e+00","-5.29","0","bJ99R31Z"
"(2010 AU118)","2106-10-21.88","9.40","7.26e+2","0.012","-0.56263","2.48e+6","2.4e-10","9.092e+05","-5.29","0","bK10AB8U"
"(2009 BR5)","2078-07-19.27","0.69","6.67e-2","0.000","0.66506","2.71e+6","1.7e-7","1.545e+02","-5.29","0","bK09B05R"
"(2010 JA43)","2019-01-07.08","98.74","1.25e+2","0.783","-1.81922","1.58e+5","3.6e-9","2.252e+02","-5.29","0","bK10J43A"
"(2016 WN55)","2031-09-13.92","168.40","1.40e+2","1.196","-0.49355","6.21e+5","2.5e-9","5.012e+03","-5.29","0","bK16W55N"
"(2007 KO4)","2038-11-23.84","24.18","3.22e+1","0.720","0.84438","2.96e+4","2.8e-7","2.152e+01","-5.30","0","bK07K04O"
"(2002 RB182)","2088-10-08.02","0.07","1.94e-1","0.000","-0.48116","1.19e+6","5.8e-7","3.766e+01","-5.31","0","bK02RI2B"
"(2011 VG9)","2086-11-01.76","0.46","2.08e-2","0.000","2.68324","1.49e+5","1.3e-7","2.347e+02","-5.31","0","bK11V09G"
"(2012 ES10)","2059-03-05.45","0.64","1.57e-2","0.000","1.14774","7.15e+5","4.4e-7","2.696e+01","-5.31","0","bK12E10S"
"(2016 WG)","2101-06-24.42","0.64","4.66e-3","0.000","-0.67539","8.26e+5","5.9e-7","4.523e+01","-5.31","0","bK16W00G"
"(2011 VG9)","2112-11-03.27","0.82","1.11e-2","0.000","1.24515","1.21e+6","1.7e-7","2.337e+02","-5.32","0","bK11V09G"
"(2010 AU118)","2084-10-20.63","158.50","5.77e+2","0.273","-0.53321","4.30e+6","1.7e-10","9.015e+05","-5.32","0","bK10AB8U"
"(2001 CA21)","2060-02-22.15","34.21","1.71e+1","1.943","-1.60917","1.11e+6","9.9e-10","5.432e+04","-5.33","0","bK01C21A"
"(2007 FT3)","2034-10-03.10","143.27","5.24e+1","2.715","-1.07823","2.94e+4","4.3e-9","2.768e+03","-5.33","0","bK07F03T"
"(2008 UB7)","2079-11-01.41","0.24","1.55e-2","0.000","-0.25497","7.14e+5","1.0e-6","1.442e+01","-5.33","0","bK08U07B"
"(2015 RN35)","2092-12-11.30","0.42","7.08e-3","0.000","0.58340","5.21e+5","1.2e-6","1.579e+01","-5.33","0","bK15R35N"
"(2016 WN55)","2058-09-12.78","20.84","1.59e+2","0.125","-0.53317","4.62e+5","5.8e-9","5.472e+03","-5.34","0","bK16W55N"
"(2007 FT3)","2115-10-04.60","107.78","1.71e+2","0.624","-1.07158","5.63e+4","2.4e-8","2.768e+03","-5.34","0","bK07F03T"
"(2007 KO4)","2030-11-23.74","49.43","3.18e+1","1.521","0.64273","2.46e+4","1.6e-7","2.210e+01","-5.34","0","bK07K04O"
"(2011 VG9)","2104-11-03.86","0.91","< 1.e-04","0.000","-0.05724","2.20e+6","1.5e-7","2.309e+02","-5.35","0","bK11V09G"
"(2016 WG)","2101-06-24.42","0.64","4.63e-3","0.000","-0.67542","9.15e+5","5.3e-7","4.523e+01","-5.35","0","bK16W00G"
"(2017 GM7)","2056-06-19.68","11.57","3.34e+0","3.163","-1.68736","6.05e+4","1.7e-9","2.353e+04","-5.35","0","bK17G07M"
"(2007 FT3)","2035-10-03.62","50.25","4.76e+1","1.034","-0.82409","9.84e+5","4.4e-9","2.724e+03","-5.36","0","bK07F03T"
"(2008 UV99)","2081-03-29.36","21.32","1.69e+1","1.200","0.50282","1.02e+6","1.2e-8","3.779e+03","-5.36","0","bK08U99V"
"(2016 WG)","2076-06-23.30","0.28","4.72e-3","0.000","-1.37553","8.06e+5","3.7e-7","4.518e+01","-5.36","0","bK16W00G"
"(2016 NL56)","2058-08-25.26","15.84","2.30e+1","0.646","-0.66150","1.44e+5","9.4e-8","1.528e+02","-5.37","0","bK16N56L"
"(2001 CA21)","2073-10-12.70","31.52","2.03e+1","1.503","-1.25259","2.65e+6","1.3e-9","4.739e+04","-5.38","0","bK01C21A"
"(2007 FT3)","2058-10-03.77","74.90","4.75e+1","1.557","-0.53957","2.76e+5","9.5e-9","2.670e+03","-5.38","0","bK07F03T"
"(2007 FT3)","2042-10-03.87","117.94","4.78e+1","2.447","-0.39134","7.95e+4","5.8e-9","2.643e+03","-5.38","0","bK07F03T"
"(2013 WM)","2047-11-20.48","0.55","2.66e-2","0.000","2.63520","1.03e+5","2.0e-7","3.965e+01","-5.38","0","bK13W00M"
"(2015 ME131)","2025-08-18.33","5.05","6.36e+2","0.006","0.73669","9.39e+5","6.4e-10","1.040e+04","-5.38","0","bK15MD1E"
"(2008 PK9)","2049-08-10.48","1.93","1.03e+0","0.901","-1.42217","3.09e+5","1.3e-7","7.550e+01","-5.39","0","bK08P09K"
"410777 (2009 FD)","2191-03-30.21","0.79","< 1.e-04","0.000","1.225","7.19e+5","4.0e-7","1.446e+02","-5.39","","a0410777"
"(2016 WG)","2076-06-23.29","0.44","4.39e-3","0.000","0.12010","2.07e+6","3.4e-7","4.500e+01","-5.39","0","bK16W00G"
"(2016 WN55)","2034-09-12.29","123.48","1.46e+2","0.840","-0.55236","9.81e+5","2.1e-9","5.712e+03","-5.39","0","bK16W55N"
"(2010 AU118)","2071-10-21.42","185.38","6.57e+2","0.281","-0.52687","5.49e+6","1.2e-10","9.006e+05","-5.39","0","bK10AB8U"
"(2016 WG)","2076-06-23.30","0.32","4.03e-3","0.000","-1.37537","8.76e+5","3.3e-7","4.518e+01","-5.40","0","bK16W00G"
"(2017 GM7)","2071-06-20.30","8.97","4.06e+0","1.965","-3.02981","5.45e+4","2.1e-9","2.394e+04","-5.40","0","bK17G07M"
"(2007 FT3)","2058-10-03.68","45.26","4.66e+1","0.950","-0.60239","6.32e+5","8.8e-9","2.682e+03","-5.41","0","bK07F03T"
"(2010 JA43)","2018-01-08.16","157.24","1.57e+2","0.993","-1.59462","5.29e+5","1.0e-9","2.624e+02","-5.41","0","bK10J43A"
"(2002 RB182)","2104-10-10.80","0.13","1.27e-1","0.000","-0.08625","1.35e+6","5.8e-7","3.632e+01","-5.41","0","bK02RI2B"
"(2011 VG9)","2112-11-03.54","0.37","2.22e-2","0.000","0.90552","3.51e+6","1.4e-7","2.326e+02","-5.42","0","bK11V09G"
"(2016 NL56)","2036-08-17.87","19.32","9.11e+0","2.012","-0.91535","6.04e+4","6.2e-8","8.566e+01","-5.42","0","bK16N56L"
"(2015 BS516)","2027-09-17.07","8.81","2.18e+2","0.036","-0.94452","5.79e+5","2.5e-9","2.117e+03","-5.43","0","bK15Bp6S"
"(2007 KO4)","2060-11-23.26","61.67","2.87e+1","2.112","0.51234","3.79e+3","4.0e-7","2.248e+01","-5.43","0","bK07K04O"
"(2010 AU118)","2094-10-21.22","183.70","5.38e+2","0.339","-0.52822","5.24e+6","1.5e-10","9.007e+05","-5.44","0","bK10AB8U"
"(2011 BT59)","2091-04-12.08","4.41","1.75e+0","1.946","-1.39056","4.46e+5","1.2e-8","3.243e+03","-5.44","0","bK11B59T"
"(2004 ME6)","2017-07-08.36","101.58","5.90e+1","1.704","-1.72777","5.28e+5","8.2e-10","7.235e+01","-5.45","0","bK04M06E"
"(2008 EX5)","2072-10-08.89","0.45","1.63e-2","0.000","-1.57605","1.70e+5","1.2e-6","7.280e+00","-5.45","0","bK08E05X"
"(2002 RB182)","2104-10-10.80","0.26","2.26e-1","0.000","-0.08642","1.43e+6","5.2e-7","3.633e+01","-5.46","0","bK02RI2B"
"(2015 RN35)","2099-12-13.15","0.93","9.47e-3","0.000","0.00198","3.06e+5","9.4e-7","1.578e+01","-5.46","0","bK15R35N"
"(2015 ME131)","2026-08-18.55","8.82","6.39e+2","0.012","0.73543","1.01e+6","6.0e-10","1.037e+04","-5.46","0","bK15MD1E"
"(2016 NL56)","2028-09-12.00","129.33","6.72e+2","0.191","-0.21225","1.45e+5","4.9e-9","9.560e+02","-5.46","0","bK16N56L"
"(2007 FT3)","2097-10-03.56","65.81","4.61e+1","1.404","-0.59980","2.22e+5","1.5e-8","2.682e+03","-5.47","0","bK07F03T"
"(2015 HV182)","2018-02-26.39","144.78","1.75e+2","0.822","0.09600","4.29e+6","4.7e-10","7.144e+02","-5.47","0","bK15HI2V"
"(2007 FT3)","2056-10-02.88","62.86","4.77e+1","1.298","-0.90399","4.22e+5","6.9e-9","2.739e+03","-5.48","0","bK07F03T"
"(2016 WG)","2076-06-23.31","0.35","3.80e-3","0.000","0.13630","2.66e+6","2.8e-7","4.500e+01","-5.48","0","bK16W00G"
"(2016 NL56)","2065-08-22.03","9.39","4.50e+0","1.863","-0.76870","8.91e+4","1.1e-7","1.175e+02","-5.48","0","bK16N56L"
"(2007 KO4)","2060-11-23.27","61.27","3.22e+1","1.871","0.51548","6.24e+3","3.6e-7","2.247e+01","-5.48","0","bK07K04O"
"(2002 RB182)","2088-10-07.54","0.27","1.77e-1","0.000","-0.35597","1.87e+6","3.8e-7","3.774e+01","-5.49","0","bK02RI2B"
"(2010 MA113)","2075-01-25.11","2.77","2.51e+0","0.703","1.83661","1.28e+5","1.8e-7","7.129e+01","-5.49","0","bK10MB3A"
"(2016 WN55)","2058-09-12.77","23.46","1.38e+2","0.162","-0.53373","7.52e+5","4.1e-9","5.480e+03","-5.49","0","bK16W55N"
"101955 Bennu (1999 RQ36)","2196-09-24.27","0.64","< 1.e-04","0.000","3.822","1.20e+4","6.1e-8","1.152e+03","-5.50","","a0101955"
"101955 Bennu (1999 RQ36)","2193-09-24.63","0.66","< 1.e-04","0.000","-2.519","7.38e+5","6.0e-8","1.151e+03","-5.50","","a0101955"
"(2005 ED224)","2064-03-10.38","0.59","3.51e-2","0.000","0.81899","1.23e+6","3.7e-7","2.175e+01","-5.51","0","bK05EM4D"
"(2008 UV99)","2097-03-29.65","2.21","1.75e+1","0.069","0.50972","2.47e+6","1.0e-8","3.859e+03","-5.51","0","bK08U99V"
"(2014 NJ65)","2022-01-07.37","122.78","2.47e+3","0.049","-0.53421","2.57e+5","6.8e-10","3.203e+03","-5.51","0","bK14N65J"
"(2015 ME131)","2023-02-14.81","75.18","2.01e+3","0.037","0.75188","5.97e+5","3.2e-10","1.106e+04","-5.51","0","bK15MD1E"
"(2005 NX55)","2019-01-06.07","36.31","9.35e+1","0.378","-2.33274","2.30e+5","1.4e-9","3.678e+02","-5.51","0","bK05N55X"
"(2008 PK9)","2057-08-10.78","0.27","7.56e-1","0.000","2.27226","2.46e+5","1.6e-7","4.973e+01","-5.52","0","bK08P09K"
"(2016 WG)","2115-06-25.06","0.88","4.61e-3","0.000","1.47002","2.98e+5","4.3e-7","4.480e+01","-5.52","0","bK16W00G"
"(2004 GE2)","2106-05-03.08","0.22","3.66e-3","0.000","-3.16853","9.54e+4","5.3e-8","5.211e+02","-5.53","0","bK04G02E"
"(2007 FT3)","2099-10-03.74","54.00","5.37e+1","0.986","-0.90743","2.90e+5","1.3e-8","2.740e+03","-5.53","0","bK07F03T"
"(2015 ME131)","2035-08-18.72","29.20","6.51e+2","0.043","0.73001","5.86e+5","1.0e-9","1.027e+04","-5.53","0","bK15MD1E"
"(2015 ME131)","2027-08-18.79","11.44","6.40e+2","0.016","0.73438","1.06e+6","5.7e-10","1.035e+04","-5.53","0","bK15MD1E"
"(2015 ME131)","2026-02-14.50","71.44","8.72e+2","0.081","0.74308","9.57e+5","4.6e-10","1.094e+04","-5.53","0","bK15MD1E"
"(2013 WM)","2105-11-20.29","0.50","2.15e-2","0.000","-0.41037","1.52e+6","4.2e-7","3.756e+01","-5.54","0","bK13W00M"
"(2016 WG)","2076-06-22.98","0.77","4.71e-3","0.000","0.03044","2.09e+6","2.4e-7","4.499e+01","-5.54","0","bK16W00G"
"(2016 WN55)","2046-09-12.65","51.24","1.49e+2","0.336","-0.53962","1.05e+6","2.6e-9","5.554e+03","-5.54","0","bK16W55N"
"(2007 FT3)","2095-10-03.87","6.48","4.85e+1","0.113","-0.77999","6.29e+5","1.2e-8","2.717e+03","-5.55","0","bK07F03T"
"(2007 WP3)","2105-11-12.31","0.04","4.81e-3","0.000","0.90522","5.90e+5","9.0e-7","1.425e+01","-5.55","0","bK07W03P"
"(2015 ME131)","2029-02-14.26","173.22","9.14e+2","0.188","0.73867","6.99e+5","5.9e-10","1.090e+04","-5.55","0","bK15MD1E"
"(2007 FT3)","2040-10-02.89","45.76","4.77e+1","0.939","-0.83124","1.36e+6","3.4e-9","2.724e+03","-5.56","0","bK07F03T"
"(2008 UV99)","2092-03-29.30","4.71","6.99e+0","0.531","0.50749","6.17e+6","8.2e-9","3.833e+03","-5.57","0","bK08U99V"
"(2010 AU118)","2096-10-20.29","22.24","4.36e+2","0.049","-0.56865","8.84e+6","1.1e-10","9.108e+05","-5.57","0","bK10AB8U"
"(2016 WN55)","2049-09-13.19","112.95","1.45e+2","0.774","-0.50771","7.96e+5","2.8e-9","5.167e+03","-5.57","0","bK16W55N"
