Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
29075 (1950 DA),2880-03-16.99,0.04,0,5.26E+02,-2.345,1.20E-04,1.00E-03,7.54E+04,-1.42,,a0029075
29075 (1950 DA),2185-03-29.75,0.51,0,2.23E+02,1.298,1.40E-03,< 1.e-04,1.45E+02,-1.83,,a0410777
101955 Bennu (1999 RQ36),2196-09-24.33,0.15,0,1.68E+04,-0.065,9.40E-05,< 1.e-04,1.15E+03,-2.32,,a0101955
101955 Bennu (1999 RQ36),2185-09-24.59,0.04,0,2.55E+04,0.182,6.30E-05,< 1.e-04,1.15E+03,-2.46,,a0101955
101955 Bennu (1999 RQ36),2175-09-25.15,0.23,0,1.49E+04,1.344,4.10E-05,< 1.e-04,1.15E+03,-2.62,,a0101955
101955 Bennu (1999 RQ36),2196-09-24.31,0,0,4.74E+04,-0.092,3.50E-05,< 1.e-04,1.15E+03,-2.74,,a0101955
410777 (2009 FD),2190-03-30.08,0.57,0,3.51E+03,0.565,1.70E-04,< 1.e-04,1.45E+02,-2.75,,a0410777
101955 Bennu (1999 RQ36),2193-09-24.60,0.01,0,9.47E+03,-1.938,2.80E-05,< 1.e-04,1.15E+03,-2.84,,a0101955
99942 Apophis (2004 MN4),2068-04-12.64,0.02,0,1.31E+05,1.007,6.70E-06,< 1.e-04,1.15E+03,-2.93,0,a0099942
101955 Bennu (1999 RQ36),2180-09-24.39,0.12,0,8.33E+04,0.529,2.00E-05,< 1.e-04,1.15E+03,-2.96,,a0101955
101955 Bennu (1999 RQ36),2185-09-24.59,0.07,0,8.34E+04,-0.111,2.00E-05,< 1.e-04,1.15E+03,-2.97,,a0101955
(1979 XB),2056-12-12.90,0.19,0,2.95E+06,-0.89486,1.80E-07,9.71E-02,4.27E+04,-3.12,0,bJ79X00B
(1979 XB),2113-12-14.75,0.21,0,1.40E+06,0.06341,5.60E-07,2.55E-02,3.07E+04,-3.13,0,bJ79X00B
(2010 AU118),2020-10-20.11,25.31,0.038,5.07E+05,-0.5637,1.30E-09,6.35E+02,9.10E+05,-3.14,0,bK10AB8U
(2007 FT3),2019-10-03.93,65.92,1.39,3.75E+04,-0.52688,9.20E-08,4.67E+01,2.67E+03,-3.17,0,bK07F03T
101955 Bennu (1999 RQ36),2180-09-24.36,0.19,0,9.67E+04,0.894,1.10E-05,< 1.e-04,1.15E+03,-3.19,,a0101955
101955 Bennu (1999 RQ36),2187-09-25.14,0.86,0,1.98E+04,1.689,8.30E-06,< 1.e-04,1.15E+03,-3.35,,a0101955
(2017 GM7),2035-06-20.48,0.73,0,2.61E+04,-2.90594,7.50E-08,3.62E+00,2.38E+04,-3.36,0,bK17G07M
(2015 ME131),2017-08-19.39,144.61,0.234,2.41E+05,0.7894,2.40E-09,6.15E+02,1.15E+04,-3.41,0,bK15MD1E
101955 Bennu (1999 RQ36),2175-09-25.16,0.45,0,1.18E+05,1.051,6.40E-06,< 1.e-04,1.15E+03,-3.43,,a0101955
(2008 UV99),2019-03-30.15,11.92,0.359,4.70E+05,0.51598,2.90E-08,3.04E+01,3.93E+03,-3.44,0,bK08U99V
(2017 FN128),2059-09-13.59,4.26,2.059,9.01E+03,2.28996,9.00E-08,1.58E+00,3.45E+04,-3.52,0,bK17FC8N
101955 Bennu (1999 RQ36),2191-09-25.13,0.03,0,3.05E+05,-0.164,5.40E-06,< 1.e-04,1.15E+03,-3.54,,a0101955
(2010 AU118),2025-10-20.64,103.75,0.164,7.40E+05,-0.53931,9.20E-10,6.26E+02,9.04E+05,-3.68,0,bK10AB8U
101955 Bennu (1999 RQ36),2182-09-24.85,0.28,0,3.03E+04,-2.291,3.50E-06,< 1.e-04,1.15E+03,-3.71,,a0101955
(2017 FO128),2104-03-15.81,0.61,0,1.13E+04,-1.58172,1.60E-05,1.17E-02,7.55E+01,-3.71,0,bK17FC8O
(2005 ED224),2018-03-11.32,0.9,0,2.96E+05,1.43764,4.10E-07,9.42E-03,2.45E+01,-3.72,0,bK05EM4D
(2001 CA21),2020-10-08.57,12.96,1.224,1.90E+06,-1.60215,3.20E-09,9.77E+00,5.49E+04,-3.73,0,bK01C21A
(2007 FT3),2024-10-02.85,52.12,1.079,5.48E+04,-0.82761,7.50E-08,4.74E+01,2.72E+03,-3.73,0,bK07F03T
101955 Bennu (1999 RQ36),2176-09-24.39,0.17,0,2.56E+04,2.458,3.10E-06,< 1.e-04,1.15E+03,-3.75,,a0101955
(2001 CA21),2025-10-09.45,6.3,1.165,1.67E+06,-1.6108,7.10E-09,4.55E+00,5.55E+04,-3.76,0,bK01C21A
101955 Bennu (1999 RQ36),2181-09-24.78,0.01,0,3.52E+05,1.021,2.90E-06,< 1.e-04,1.15E+03,-3.8,,a0101955
(2016 NL56),2019-09-04.74,54.17,0.573,4.55E+04,-0.37959,9.20E-08,9.29E+01,3.90E+02,-3.82,0,bK16N56L
(2016 NL56),2020-06-23.44,50.74,0.052,8.66E+05,0.12644,6.00E-10,9.50E+02,2.98E+05,-3.83,0,bK16N56L
(2010 AU118),2028-10-19.96,106.92,0.191,8.55E+05,-0.57945,8.80E-10,5.54E+02,9.15E+05,-3.83,0,bK10AB8U
(2007 FT3),2030-10-03.62,36.39,0.742,6.54E+04,-0.60895,9.90E-08,4.77E+01,2.69E+03,-3.87,0,bK07F03T
(2001 VB),2023-07-23.30,0.92,0,3.23E+05,-3.39298,2.40E-09,5.15E-01,8.60E+04,-3.95,0,bK01V00B
(2012 QD8),2047-03-08.97,0.25,0,1.68E+05,0.07979,4.60E-06,1.48E-02,4.82E+01,-3.95,0,bK12Q08D
(2010 AU118),2033-10-20.43,5.08,0.007,8.88E+05,-0.56034,8.80E-10,5.47E+02,9.09E+05,-3.98,0,bK10AB8U
(2010 AU118),2030-10-21.05,175.37,0.28,9.62E+05,-0.52635,7.00E-10,6.23E+02,9.00E+05,-4,0,bK10AB8U
(2010 WC9),2027-05-16.00,0.6,0,9.39E+04,1.03461,3.20E-06,4.43E-01,1.56E+01,-4.02,0,bK10W09C
101955 Bennu (1999 RQ36),2194-09-24.80,0.57,0,9.55E+03,2.916,1.80E-06,< 1.e-04,1.15E+03,-4.04,,a0101955
99942 Apophis (2004 MN4),2076-04-13.02,0.11,0,1.73E+06,1.075,5.40E-07,< 1.e-04,1.15E+03,-4.09,0,a0099942
101955 Bennu (1999 RQ36),2186-09-24.97,0.54,0,8.05E+05,-0.187,1.50E-06,< 1.e-04,1.15E+03,-4.1,,a0101955
(2016 WN55),2020-09-13.11,158.88,1.516,1.49E+05,-0.49467,8.90E-09,1.04E+02,5.02E+03,-4.1,0,bK16W55N
101955 Bennu (1999 RQ36),2198-09-24.91,0.4,0,3.12E+05,-1.45,1.50E-06,< 1.e-04,1.15E+03,-4.11,,a0101955
101955 Bennu (1999 RQ36),2182-09-24.86,0.07,0,2.61E+04,-2.753,1.40E-06,< 1.e-04,1.15E+03,-4.11,,a0101955
101955 Bennu (1999 RQ36),2181-09-24.54,0.17,0,4.61E+05,1.361,1.40E-06,< 1.e-04,1.15E+03,-4.12,,a0101955
(2007 FT3),2041-10-03.36,28.31,0.567,7.30E+04,-0.63624,9.80E-08,4.82E+01,2.69E+03,-4.13,0,bK07F03T
(2011 BT59),2052-04-10.29,2.69,0.959,5.10E+05,-0.93149,1.20E-07,1.77E+00,3.34E+03,-4.13,0,bK11B59T
(2015 ME131),2018-08-19.19,83.84,0.133,3.35E+05,0.76847,1.80E-09,6.22E+02,1.10E+04,-4.13,0,bK15MD1E
101955 Bennu (1999 RQ36),2191-09-25.18,0.66,0,7.37E+05,-0.146,1.40E-06,< 1.e-04,1.15E+03,-4.13,,a0101955
(2008 EX5),2072-10-09.02,0.02,0,2.07E+04,-0.99054,2.40E-05,1.55E-02,7.29E+00,-4.16,0,bK08E05X
101955 Bennu (1999 RQ36),2191-09-25.32,0.17,0,1.20E+06,-0.172,1.30E-06,< 1.e-04,1.15E+03,-4.17,,a0101955
(2017 FN128),2064-09-12.85,1.84,0.526,5.56E+05,2.28139,2.20E-08,1.59E+00,3.45E+04,-4.18,0,bK17FC8N
101955 Bennu (1999 RQ36),2190-09-24.81,0.01,0,1.62E+06,0.311,1.20E-06,< 1.e-04,1.15E+03,-4.18,,a0101955
(2010 AU118),2036-10-19.92,134.56,0.257,1.18E+06,-0.58596,6.60E-10,5.19E+02,9.16E+05,-4.18,0,bK10AB8U
(2017 GM7),2076-06-19.74,2.5,0.491,2.85E+06,-0.39778,3.80E-08,3.07E+00,2.32E+04,-4.18,0,bK17G07M
(2007 FT3),2035-10-03.69,27.5,0.551,1.02E+05,-0.79003,6.40E-08,4.81E+01,2.72E+03,-4.19,0,bK07F03T
99942 Apophis (2004 MN4),2103-04-14.44,0.6,0,1.33E+06,1.002,5.40E-07,< 1.e-04,1.15E+03,-4.24,0,a0099942
101955 Bennu (1999 RQ36),2191-09-25.38,0.03,0,1.39E+06,0.535,1.00E-06,< 1.e-04,1.15E+03,-4.26,,a0101955
(2010 CR5),2062-01-01.09,1.15,0.113,3.45E+06,-0.35392,6.90E-08,1.31E+00,5.92E+03,-4.27,0,bK10C05R
(2017 GM7),2060-06-19.60,6.05,1.305,5.92E+04,-2.60364,2.20E-08,3.87E+00,2.38E+04,-4.27,0,bK17G07M
(2010 AU118),2038-10-20.85,68.21,0.118,1.29E+06,-0.54675,5.80E-10,5.71E+02,9.06E+05,-4.28,0,bK10AB8U
101955 Bennu (1999 RQ36),2186-09-24.74,0,0,1.42E+06,0.692,9.40E-07,< 1.e-04,1.15E+03,-4.3,,a0101955
(2010 AU118),2041-10-20.35,48.57,0.09,1.28E+06,-0.56982,6.20E-10,5.29E+02,9.12E+05,-4.3,0,bK10AB8U
99942 Apophis (2004 MN4),2065-04-11.77,0.17,0,4.15E+06,0.923,2.60E-07,< 1.e-04,1.15E+03,-4.32,0,a0099942
101955 Bennu (1999 RQ36),2193-09-24.74,0.02,0,4.86E+05,1.674,8.50E-07,< 1.e-04,1.15E+03,-4.35,,a0101955
(2007 FT3),2046-10-03.49,16.88,0.329,1.03E+05,-0.77242,7.00E-08,4.83E+01,2.72E+03,-4.36,0,bK07F03T
101955 Bennu (1999 RQ36),2199-09-24.92,0.78,0,6.49E+05,-0.92,8.70E-07,< 1.e-04,1.15E+03,-4.36,,a0101955
101955 Bennu (1999 RQ36),2194-09-24.79,0.18,0,3.35E+04,2.832,8.50E-07,< 1.e-04,1.15E+03,-4.36,,a0101955
101955 Bennu (1999 RQ36),2192-09-24.19,0.08,0,3.74E+05,-0.213,8.40E-07,< 1.e-04,1.15E+03,-4.36,,a0101955
101955 Bennu (1999 RQ36),2186-09-25.00,0.29,0,7.51E+05,1.327,8.10E-07,< 1.e-04,1.15E+03,-4.36,,a0101955
(2008 EX5),2083-10-09.71,0.35,0,2.78E+04,-0.91976,1.80E-05,1.64E-02,7.28E+00,-4.36,0,bK08E05X
(2012 QD8),2050-03-08.68,0.07,0,3.36E+03,-3.10852,1.90E-06,1.46E-02,4.86E+01,-4.37,0,bK12Q08D
101955 Bennu (1999 RQ36),2188-09-24.35,0.9,0,1.58E+04,2.781,8.00E-07,< 1.e-04,1.15E+03,-4.37,,a0101955
(2015 RN35),2074-12-12.66,0.78,0,5.24E+04,0.58875,8.00E-06,6.08E-03,1.58E+01,-4.38,0,bK15R35N
(2007 FT3),2073-10-03.27,21.97,0.461,5.73E+04,-0.81209,1.20E-07,4.55E+01,2.72E+03,-4.39,0,bK07F03T
101955 Bennu (1999 RQ36),2198-09-24.74,0.07,0,2.08E+06,-0.193,7.80E-07,< 1.e-04,1.15E+03,-4.41,,a0101955
(2010 AU118),2044-10-19.91,150.65,0.3,1.48E+06,-0.58951,5.40E-10,4.99E+02,9.17E+05,-4.41,0,bK10AB8U
(2008 UB7),2060-10-31.80,0.14,0,8.56E+03,2.3687,5.60E-06,6.66E-02,1.42E+01,-4.45,0,bK08U07B
101955 Bennu (1999 RQ36),2194-09-24.75,0.01,0,1.45E+04,3.204,6.90E-07,< 1.e-04,1.15E+03,-4.45,,a0101955
101955 Bennu (1999 RQ36),2190-09-24.81,0.2,0,1.45E+06,0.957,6.70E-07,< 1.e-04,1.15E+03,-4.45,,a0101955
(2008 UB7),2060-10-31.77,0.78,0,7.62E+03,2.23235,5.40E-06,2.29E-02,1.42E+01,-4.46,0,bK08U07B
101955 Bennu (1999 RQ36),2181-09-24.55,0.22,0,4.15E+05,1.882,6.30E-07,< 1.e-04,1.15E+03,-4.46,,a0101955
(2007 FT3),2050-10-03.18,123.42,1.228,2.18E+04,-1.06845,6.00E-08,9.97E+01,2.77E+03,-4.47,0,bK07F03T
(2010 XB73),2017-05-25.89,83.23,1.568,1.34E+05,-1.32069,8.40E-09,5.24E+01,3.19E+01,-4.47,0,bK10X73B
(2015 ME131),2019-08-19.22,53.13,0.084,4.30E+05,0.75741,1.40E-09,6.23E+02,1.08E+04,-4.47,0,bK15MD1E
(2010 AU118),2049-10-20.31,82.48,0.162,1.49E+06,-0.57662,5.60E-10,5.04E+02,9.13E+05,-4.47,0,bK10AB8U
99942 Apophis (2004 MN4),2078-04-13.76,0.06,0,5.02E+06,0.925,2.20E-07,< 1.e-04,1.15E+03,-4.48,0,a0099942
(2016 NL56),2023-06-11.74,136.74,0.107,9.31E+05,0.11014,4.20E-10,1.27E+03,1.65E+05,-4.48,0,bK16N56L
101955 Bennu (1999 RQ36),2192-09-24.17,0.17,0,5.32E+04,-2.547,5.80E-07,< 1.e-04,1.15E+03,-4.52,,a0101955
101955 Bennu (1999 RQ36),2191-09-25.55,0.73,0,1.14E+06,0.899,5.60E-07,< 1.e-04,1.15E+03,-4.53,,a0101955
(2017 FB1),2108-03-03.50,0.58,0,7.37E+04,1.12071,4.40E-06,2.00E-01,3.67E+01,-4.54,0,bK17F01B
101955 Bennu (1999 RQ36),2187-09-25.06,0,0,2.73E+05,-2.223,5.30E-07,< 1.e-04,1.15E+03,-4.55,,a0101955
(2007 FT3),2091-10-04.03,53.85,1.033,4.16E+04,-0.61906,1.10E-07,5.11E+01,2.69E+03,-4.56,0,bK07F03T
99942 Apophis (2004 MN4),2091-04-13.38,0.83,0,2.23E+06,0.927,2.20E-07,< 1.e-04,1.15E+03,-4.56,0,a0099942
(2010 AU118),2048-10-20.55,157.85,0.272,1.62E+06,-0.53102,4.50E-10,5.77E+02,9.01E+05,-4.56,0,bK10AB8U
(2008 UB7),2060-10-31.80,0.26,0,1.05E+04,2.38455,4.30E-06,5.26E-02,1.42E+01,-4.57,0,bK08U07B
99942 Apophis (2004 MN4),2077-04-13.45,0.4,0,4.56E+06,1.004,1.80E-07,< 1.e-04,1.15E+03,-4.57,0,a0099942
(2007 FT3),2091-10-04.03,54.11,1.153,4.38E+04,-0.61852,1.00E-07,4.61E+01,2.69E+03,-4.59,0,bK07F03T
(2010 AU118),2052-10-19.90,160.58,0.326,1.74E+06,-0.59175,4.70E-10,4.90E+02,9.17E+05,-4.59,0,bK10AB8U
(2010 AU118),2051-10-21.10,57.41,0.103,1.73E+06,-0.54965,4.50E-10,5.49E+02,9.06E+05,-4.6,0,bK10AB8U
(2010 AU118),2075-10-20.97,30.82,0.064,1.24E+06,-0.5683,7.30E-10,4.68E+02,9.11E+05,-4.61,0,bK10AB8U
410777 (2009 FD),2196-03-29.44,0.52,0,1.53E+05,1.164,2.40E-06,< 1.e-04,1.45E+02,-4.62,,a0410777
(2010 AU118),2056-10-20.45,97.4,0.178,1.64E+06,-0.54234,4.80E-10,5.43E+02,9.04E+05,-4.63,0,bK10AB8U
(2008 UB7),2063-11-01.40,0.3,0,6.09E+04,-1.57383,3.60E-06,1.80E-03,1.45E+01,-4.66,0,bK08U07B
(2016 WN55),2026-09-13.26,84.85,0.636,4.12E+05,-0.51121,6.60E-09,1.32E+02,5.21E+03,-4.66,0,bK16W55N
101955 Bennu (1999 RQ36),2195-09-25.27,0.29,0,2.23E+06,0.96,4.20E-07,< 1.e-04,1.15E+03,-4.67,,a0101955
